old_sha256,old_size,target_count,replacement_target_count,unchanged_target_count,content_classification,legacy_group_representative_target,source_resolution,canonical_source_asset_path,source_candidate_count,source_candidates,replacement_targets,unchanged_targets
5d73c36cfdc311ba5866a878c07d6e3f8e28dc00d4703606383723c675e4c0c4,38058,1,1,0,exact_current_official_content,assets/img/note_hold_hi.png,unique_official_source,assets/img/note_hold_dark_hi.png,1,assets/img/note_hold_dark_hi.png,assets/img/note_hold_hi.png,
66cdd5925489af9b7c6ee9d5cf3d2c14a02d8998aa20df9aba586134f3229188,4434,1,1,0,fully_transparent_placeholder,assets/img/bg/1080/apophenia_clear.png,no_current_official_match,,0,,assets/img/bg/1080/apophenia_clear.png,
679c054025ef54bcfbe6cbb1953027654716c277de2ae7b858033defd5d7fef6,11254,1,1,0,fully_transparent_placeholder,assets/img/bg/1080/etherstrike_2.png,no_current_official_match,,0,,assets/img/bg/1080/etherstrike_2.png,
6e56d0fc477adca126de2a7a8c3a76a3f1747a48b486c523eeaf6dc74cb96dd0,5386,1,1,0,fully_transparent_placeholder,assets/img/bg/1080/anima_clear.png,no_current_official_match,,0,,assets/img/bg/1080/anima_clear.png,
795c6c89bdefe31a78387c7a65a89e39b8ed3c8dcfc82cd739f8117057610a97,3012,1,1,0,fully_transparent_placeholder,assets/img/bg/1080/nijuusei2_light_clear.png,no_current_official_match,,0,,assets/img/bg/1080/nijuusei2_light_clear.png,
887d266729491e0a7fa454d5e8a5b1e15558ab77b2bd4d7e4c5da4b2c2f14d79,18297,1,1,0,exact_current_official_content,assets/models/sfx_d_core.jpg,unique_official_source,assets/models/sfx_l_core.jpg,1,assets/models/sfx_l_core.jpg,assets/models/sfx_d_core.jpg,
a2ea159ebd553ee198f38e31a4527c03b5c4dce9a4169498d313b86294355beb,3486,1,1,0,no_current_official_match,assets/img/card_mask.png,no_current_official_match,,0,,assets/img/card_mask.png,
d6156e8498394c29951001500d2a9a2b255b447699e720ca79eb7e3356f51708,47532,1,1,0,no_current_official_match,assets/img/course/hp-bar.png,no_current_official_match,,0,,assets/img/course/hp-bar.png,
d96ab3319144353f9cb87ba97fa8cf70521ea2b458ce54ba58c1adbb7e51cddb,9203,1,1,0,exact_current_official_content,assets/models/sfx_d_note.jpg,unique_official_source,assets/models/sfx_l_note.jpg,1,assets/models/sfx_l_note.jpg,assets/models/sfx_d_note.jpg,
fb50c9100b192aa0ef90b883390e5a0b709b504d4b387ad13fd4ddc00787b087,9620,1,1,0,exact_current_official_content,assets/img/note.png,unique_official_source,assets/img/note_dark.png,1,assets/img/note_dark.png,assets/img/note.png,
